title,console,genre,publisher,critic_score,total_sales,na_sales,jp_sales,pal_sales,other_sales,release_date,year,month,day
America's Next Top Model,Wii,Simulation,Crave Entertainment,7,0.07,0.07,0.0,0.0,0.0,2010-06-01,2010,6,1
Bass Pro Shops: The Strike - Championship Edition,NS,Simulation,Planet Entertainment,8,0.07,0.06,0.0,0.0,0.01,2018-11-09,2018,11,9
Let's Paint,Wii,Simulation,Zoo Games,7,0.07,0.07,0.0,0.0,0.0,2010-05-25,2010,5,25
Model * Oshare Audition: Dream Girl,3DS,Simulation,Alchemist,7,0.07,0.0,0.07,0.0,0.0,2013-11-14,2013,11,14
Basketball Hall of Fame Ultimate Hoops Challenge,Wii,Sports,Zoo Games,7,0.07,0.06,0.0,0.0,0.0,2010-03-16,2010,3,16
Tony Hawk's Pro Skater 5,PS3,Sports,Activision,7,0.07,0.05,0.0,0.0,0.01,2015-12-15,2015,12,15
R.B.I. Baseball 2017,XOne,Sports,MLB.com,8,0.07,0.06,0.0,0.0,0.01,2017-03-28,2017,3,28
Pro Yakyuu Spirits 4,PS3,Sports,Konami,7,0.07,0.0,0.07,0.0,0.0,2007-04-01,2007,4,1
RayStorm,PS,Shooter,Working Designs,7,0.07,0.04,0.0,0.03,0.0,1997-06-30,1997,6,30
Drake of the 99 Dragons,XB,Shooter,Majesco,6,0.07,0.05,0.0,0.01,0.0,2003-11-03,2003,11,3
Dream Trigger 3D,3DS,Shooter,D3 Publisher,5,0.07,0.04,0.0,0.02,0.01,2011-05-10,2011,5,10
G Darius,PS,Shooter,THQ,7,0.07,0.04,0.0,0.03,0.0,1998-03-31,1998,3,31
Combat: Task Force 121,XB,Shooter,Groove Games,6,0.07,0.05,0.0,0.02,0.0,2005-03-27,2005,3,27
Viewpoint,PS,Shooter,Electronic Arts,7,0.07,0.04,0.0,0.03,0.0,1995-11-28,1995,11,28
Serious Sam: Next Encounter,PS2,Shooter,Global Star Software,7,0.07,0.04,0.0,0.03,0.01,2004-04-22,2004,4,22
Tom Clancy's Ghost Recon 2,GC,Shooter,Ubisoft,5,0.07,0.06,0.0,0.01,0.0,2005-03-15,2005,3,15
Fantastic Four,PS,Action,Acclaim Entertainment,7,0.07,0.04,0.0,0.03,0.0,1997-09-30,1997,9,30
Resident Evil 6,XOne,Shooter,Capcom,8,0.07,0.06,0.0,0.0,0.01,2016-03-29,2016,3,29
Operation Flashpoint: Dragon Rising,PC,Shooter,Codemasters,7,0.07,0.03,0.0,0.03,0.01,2009-10-06,2009,10,6
Machine Head,PS,Shooter,Eidos Interactive,7,0.07,0.04,0.0,0.03,0.0,1996-11-30,1996,11,30
Damnation,X360,Shooter,Codemasters,3,0.07,0.06,0.0,0.01,0.01,2009-05-26,2009,5,26
Wild Guns Reloaded,NS,Shooter,Natsume,8,0.07,0.06,0.0,0.0,0.01,2018-04-17,2018,4,17
Hunting Simulator,PS4,Shooter,Bigben Interactive,8,0.07,0.06,0.0,0.0,0.01,2017-07-11,2017,7,11
Operation Flashpoint: Red River,PC,Shooter,Codemasters,7,0.07,0.01,0.0,0.04,0.01,2011-06-07,2011,6,7
DefCon 5,PS,Shooter,Data East,7,0.07,0.04,0.0,0.03,0.0,1995-11-23,1995,11,23
OverBlood 2,PS,Action,Evolution Games,7,0.07,0.0,0.06,0.0,0.0,2001-04-13,2001,4,13
Bad Apple Wars,PSV,Action,Aksys Games,9,0.07,0.02,0.04,0.0,0.01,2017-10-13,2017,10,13
Alpha and Omega,DS,Action,Storm City Games,7,0.07,0.06,0.0,0.0,0.0,2010-09-14,2010,9,14
SG/ZH: School Girl/Zombie Hunter,PS4,Action,Aksys Games,8,0.07,0.04,0.02,0.0,0.01,2017-11-17,2017,11,17
Spartan: Total Warrior,GC,Action,Sega,7,0.07,0.05,0.0,0.01,0.0,2005-10-27,2005,10,27
Pitfall: The Lost Expedition,XB,Action,Activision,6,0.07,0.05,0.0,0.01,0.0,2004-02-18,2004,2,18
Bionicle Heroes,X360,Shooter,Eidos Interactive,6,0.07,0.05,0.0,0.01,0.01,2006-11-15,2006,11,15
Target: Terror,Wii,Shooter,Konami,7,0.07,0.06,0.0,0.0,0.01,2008-04-22,2008,4,22
Silpheed: The Lost Planet,PS2,Shooter,Working Designs,7,0.07,0.03,0.0,0.03,0.01,2001-04-23,2001,4,23
Heavenly Guardian,Wii,Shooter,UFO Interactive,7,0.07,0.06,0.0,0.0,0.01,2008-04-22,2008,4,22
Space Hulk: Vengeance of the Blood Angels,PS,Shooter,Electronic Arts,7,0.07,0.04,0.0,0.03,0.0,1996-01-01,1996,1,1
Winning Post 7 2010,PS3,Sports,Tecmo Koei,7,0.07,0.0,0.07,0.0,0.0,2010-09-22,2010,9,22
Billy's Boot Camp: Wii de Enjoy Diet!,Wii,Sports,Rocket Company,7,0.07,0.0,0.07,0.0,0.0,2011-04-21,2011,4,21
R.B.I. Baseball 18,PS4,Sports,MLB Advanced Media,8,0.07,0.06,0.0,0.0,0.01,2018-03-20,2018,3,20
Football Manager 2010,PC,Sports,Sega,8,0.07,0.0,0.0,0.06,0.01,2009-11-03,2009,11,3
Major League Baseball 2K10,PSP,Sports,2K Sports,2,0.07,0.06,0.0,0.0,0.01,2010-03-02,2010,3,2
NHL 2005,GC,Sports,EA Sports,7,0.07,0.05,0.0,0.01,0.0,2004-09-20,2004,9,20
NHL Hitz Pro,XB,Sports,Midway Games,6,0.07,0.05,0.0,0.01,0.0,2003-09-25,2003,9,25
Sega Soccer Slam,GC,Sports,Sega,7,0.07,0.05,0.0,0.01,0.0,2002-03-18,2002,3,18
Mario Tennis,VC,Sports,Nintendo,8,0.07,0.0,0.0,0.06,0.01,2010-06-28,2010,6,28
Nichibeikan Pro Yakyuu: Final League,PS2,Sports,Square,7,0.07,0.0,0.07,0.0,0.0,2002-04-25,2002,4,25
FIFA Soccer 06,GBA,Sports,EA Sports,7,0.07,0.05,0.0,0.02,0.0,2005-10-11,2005,10,11
RedCard 20-03,PS2,Sports,Midway Games,7,0.07,0.03,0.0,0.03,0.01,2002-04-16,2002,4,16
All-Star Baseball 2004,GBA,Sports,Acclaim Entertainment,7,0.07,0.05,0.0,0.02,0.0,2003-02-23,2003,2,23
Alexi Lalas International Soccer,PS,Sports,Take-Two Interactive,4,0.07,0.04,0.0,0.03,0.0,1999-04-30,1999,4,30
The Final Round,PS,Sports,Konami,7,0.07,0.04,0.0,0.03,0.0,1996-08-31,1996,8,31
Cabela's Big Game Hunter 2005 Adventures,GC,Sports,Activision,7,0.07,0.05,0.0,0.01,0.0,2004-12-09,2004,12,9
My Horse & Me: Riding for Gold,DS,Sports,Atari,7,0.07,0.05,0.0,0.01,0.0,2009-03-26,2009,3,26
Mutant Football League: Dynasty Edition,PS4,Sports,Nighthawk Interactive,8,0.07,0.05,0.0,0.0,0.01,2018-10-30,2018,10,30
Family Trainer: Treasure Adventure,Wii,Sports,Namco Bandai,7,0.07,0.0,0.0,0.06,0.01,2010-10-29,2010,10,29
ESPN National Hockey Night,PS2,Sports,Konami,7,0.07,0.03,0.0,0.03,0.01,2001-03-25,2001,3,25
Pro Yakyuu Spirits 2011,3DS,Sports,Konami,7,0.07,0.0,0.07,0.0,0.0,2011-04-14,2011,4,14
MLB Power Pros 2008,DS,Sports,2K Sports,7,0.07,0.06,0.0,0.0,0.01,2008-08-25,2008,8,25
Jackass the Game DS,DS,Action,Red Mile Entertainment,7,0.07,0.06,0.0,0.0,0.01,2008-01-08,2008,1,8
Uprising X,PS,Action,3DO,7,0.07,0.04,0.0,0.03,0.0,1998-11-30,1998,11,30
Teenage Mutant Ninja Turtles: Mutants in Manhattan,XOne,Action,Activision,8,0.07,0.05,0.0,0.01,0.01,2016-05-24,2016,5,24
Busou Shinki: Battle Masters,PSP,Action,Konami,7,0.07,0.0,0.07,0.0,0.0,2010-07-15,2010,7,15
River City Ransom EX,GBA,Action,Atlus,6,0.07,0.05,0.0,0.02,0.0,2004-05-25,2004,5,25
Legend of Kay Anniversary,WiiU,Action,Nordic Games,6,0.07,0.05,0.0,0.02,0.01,2015-05-29,2015,5,29
Has-Been Heroes,PS4,Action,GameTrust,4,0.07,0.06,0.0,0.0,0.01,2017-03-28,2017,3,28
Street Fighter II': Special Champion Edition (JP weekly sales),GEN,Action,Capcom,8,0.07,0.0,0.07,0.0,0.0,1993-09-27,1993,9,27
Chou Sentouchuu: Kyuukyoku no Shinobu to Battle Player Choujou Kessen!,3DS,Action,Bandai Namco Games,7,0.07,0.0,0.07,0.0,0.0,2016-09-15,2016,9,15
Samurai Warriors 4: Empires,PS3,Action,Tecmo Koei,7,0.07,0.0,0.07,0.0,0.0,2016-03-15,2016,3,15
TRON: Evolution,PC,Action,Disney Interactive Studios,8,0.07,0.06,0.0,0.0,0.0,2010-12-07,2010,12,7
Army Men: Green Rogue,PS,Action,3DO,7,0.07,0.04,0.0,0.02,0.0,2001-04-13,2001,4,13
G-Saviour,PS2,Action,Sunrise Interactive,7,0.07,0.0,0.07,0.0,0.0,2000-09-14,2000,9,14
Accel World vs. Sword Art Online: Millennium Twilight,PSV,Action,Namco Bandai Games,9,0.07,0.0,0.07,0.0,0.0,2017-07-07,2017,7,7
Firefighter F.D.18,PS2,Action,Konami,5,0.07,0.03,0.0,0.03,0.01,2004-03-09,2004,3,9
Warhammer: The End Times - Vermintide,PS4,Action,Games Workshop,8,0.07,0.03,0.0,0.03,0.01,2016-10-04,2016,10,4
Gintama DS: Yorozuya Daisoudou,DS,Action,Namco Bandai,7,0.07,0.0,0.07,0.0,0.0,2006-09-21,2006,9,21
Zombi,PS4,Action,Ubisoft,7,0.07,0.0,0.01,0.04,0.01,2015-08-18,2015,8,18
Prince of Persia: The Fallen King,DS,Action,Ubisoft,7,0.07,0.06,0.0,0.0,0.0,2008-12-02,2008,12,2
Frogger Advance: The Great Quest,GBA,Action,Konami,5,0.07,0.05,0.0,0.02,0.0,2002-05-26,2002,5,26
Streets of Rage 3,GEN,Action,Sega,8,0.07,0.0,0.07,0.0,0.0,1994-03-17,1994,3,17
Catwoman,GC,Action,Electronic Arts,5,0.07,0.05,0.0,0.01,0.0,2004-07-20,2004,7,20
Operation: Vietnam,DS,Shooter,Majesco,7,0.07,0.06,0.0,0.0,0.0,2007-08-20,2007,8,20
Touhou Genso Rondo: Bullet Ballet,PS4,Shooter,NIS America,8,0.07,0.06,0.0,0.0,0.01,2016-09-06,2016,9,6
Inversion,PS3,Shooter,Namco Bandai Games,7,0.07,0.03,0.0,0.03,0.01,2012-06-05,2012,6,5
Gunblade NY & L.A. Machineguns Arcade Hits Pack,Wii,Shooter,Sega,7,0.07,0.06,0.0,0.01,0.01,2010-08-24,2010,8,24
The History Channel: Battle for the Pacific,PS3,Shooter,Activision,7,0.07,0.07,0.0,0.0,0.01,2008-02-19,2008,2,19
Rogue Trooper: Quartz Zone Massacre,Wii,Shooter,Graffiti,8,0.07,0.06,0.0,0.0,0.01,2009-11-24,2009,11,24
Point Blank DS (JP sales),DS,Shooter,Namco Bandai,7,0.07,0.0,0.07,0.0,0.0,2006-06-13,2006,6,13
Rayman 3: Hoodlum Havoc,XB,Platform,Ubisoft,7,0.07,0.06,0.0,0.02,0.0,2003-03-18,2003,3,18
Zettai Zetsumei Toshi 3: Kowareyuku Machi to Kanojyo no Uta,PSP,Action,Irem Software Engineering,7,0.07,0.0,0.07,0.0,0.0,2009-04-23,2009,4,23
Dynasty Warriors 8: Empires,XOne,Action,Tecmo Koei,8,0.07,0.04,0.0,0.02,0.01,2015-01-24,2015,1,24
Top Gun,PS3,Action,505 Games,7,0.07,0.06,0.0,0.0,0.01,2011-06-14,2011,6,14
Crimson Sea 2,PS2,Action,KOEI,7,0.07,0.03,0.0,0.03,0.01,2004-03-30,2004,3,30
Doraemon: Nobita to Himitsu Dougu Hakubutsukan,3DS,Action,FuRyu Corporation,7,0.07,0.0,0.07,0.0,0.0,2013-03-07,2013,3,7
Middle-Earth: Shadow of War,PC,Action,Warner Bros. Interactive Entertainment,8,0.07,0.03,0.0,0.04,0.01,2017-10-10,2017,10,10
Crayon Shin-Chan: Densetsu o Yobu Omake no To Shukkugaan!,GBA,Action,Banpresto,6,0.07,0.0,0.07,0.0,0.0,2006-03-23,2006,3,23
Samurai Warriors,XB,Action,KOEI,6,0.07,0.05,0.0,0.02,0.0,2004-07-13,2004,7,13
PriPara Mezameyo! Megami no Dress Design,3DS,Action,Takara Tomy,7,0.07,0.0,0.07,0.0,0.0,2016-11-10,2016,11,10
Terraria,PS4,Action,505 Games,7,0.07,0.0,0.01,0.05,0.01,2014-12-02,2014,12,2
Robot Alchemic Drive,PS2,Action,Enix,7,0.07,0.03,0.0,0.03,0.01,2002-11-04,2002,11,4
Tokyo Beat Down,DS,Action,Atlus,7,0.07,0.06,0.0,0.0,0.01,2009-03-31,2009,3,31
Dynasty Warriors DS: Fighter's Battle,DS,Action,KOEI,7,0.07,0.04,0.03,0.0,0.0,2007-07-25,2007,7,25
Kamen Rider: Battride War Genesis,PS4,Action,Namco Bandai Games,8,0.07,0.0,0.07,0.0,0.0,2016-02-25,2016,2,25
Godzilla (2014),PS3,Action,Namco Bandai Games,7,0.07,0.0,0.06,0.01,0.0,2015-07-14,2015,7,14
Crayon Shin-Chan: Obaka Daininden - Susume! Kasukabe Ninja Tai!,DS,Action,Namco Bandai,7,0.07,0.0,0.07,0.0,0.0,2010-03-18,2010,3,18
Pac-Man World 3,PSP,Platform,Namco,7,0.07,0.07,0.0,0.0,0.01,2005-12-06,2005,12,6
Taz Wanted,XB,Platform,Atari,5,0.07,0.05,0.0,0.02,0.0,2002-09-18,2002,9,18
Famicom Mini: Hikari Shinwa: Palutena no Kagami,GBA,Platform,Nintendo,6,0.07,0.0,0.07,0.0,0.0,2004-08-10,2004,8,10
Mega Man Xtreme,GB,Platform,Capcom,6,0.07,0.0,0.07,0.0,0.0,2001-01-11,2001,1,11
Open Season,PSP,Platform,Ubisoft,6,0.07,0.07,0.0,0.0,0.01,2006-09-19,2006,9,19
Mega Man Xtreme 2,GB,Platform,Capcom,6,0.07,0.0,0.07,0.0,0.0,2001-10-30,2001,10,30
I-Ninja,XB,Platform,Namco,7,0.07,0.05,0.0,0.02,0.0,2003-12-04,2003,12,4
Spot Goes to Hollywood,PS,Platform,Virgin Interactive,4,0.07,0.04,0.0,0.03,0.0,1996-11-30,1996,11,30
"Horrid Henry: The Good, The Bad and The Bugly",3DS,Platform,Asylum Entertainment,7,0.07,0.0,0.0,0.06,0.01,2011-11-25,2011,11,25
Anubis II,Wii,Platform,UFO Interactive,1,0.07,0.06,0.0,0.0,0.01,2007-09-18,2007,9,18
Mega Man X4,SAT,Platform,Capcom,8,0.07,0.0,0.07,0.0,0.0,1997-07-31,1997,7,31
N+,DS,Platform,Atari,7,0.07,0.06,0.0,0.0,0.0,2008-08-26,2008,8,26
Pac-Man and the Ghostly Adventures 2,WiiU,Platform,Namco Bandai Games,8,0.07,0.04,0.0,0.02,0.01,2014-10-14,2014,10,14
Futurama,PS2,Platform,VU Games,7,0.07,0.04,0.0,0.03,0.01,2003-08-14,2003,8,14
Super Ghouls 'n Ghosts,GBA,Platform,Capcom,7,0.07,0.05,0.0,0.02,0.0,2002-09-23,2002,9,23
Disney's Winnie the Pooh's Rumbly Tumbly Adventure,GC,Platform,Ubisoft,7,0.07,0.05,0.0,0.01,0.0,2005-02-08,2005,2,8
Pandemonium 2,PS,Platform,Midway Games,7,0.07,0.04,0.0,0.02,0.0,1997-09-30,1997,9,30
Scribblenauts: Showdown,NS,Platform,Warner Bros. Interactive,8,0.07,0.03,0.0,0.03,0.01,2018-03-06,2018,3,6
The Tale of Despereaux,DS,Platform,Brash Entertainment,7,0.07,0.06,0.0,0.0,0.0,2008-12-02,2008,12,2
Rayman Origins,PC,Platform,Ubisoft,8,0.07,0.0,0.0,0.06,0.01,2012-03-29,2012,3,29
Dave Mirra BMX Challenge,Wii,Sports,Crave Entertainment,3,0.07,0.06,0.0,0.0,0.01,2007-10-02,2007,10,2
Pro Yakyuu Spirits 2014,PSV,Sports,Konami Digital Entertainment,9,0.07,0.0,0.07,0.0,0.0,2014-03-20,2014,3,20
NCAA College Football 2K3,GC,Sports,Sega,7,0.07,0.05,0.0,0.01,0.0,2002-09-09,2002,9,9
NHL-Legacy Edition,PS3,Sports,EA Sports,7,0.07,0.06,0.0,0.0,0.01,2015-09-09,2015,9,9
Super Baseball,2600,Sports,Atari,5,0.07,0.07,0.0,0.0,0.0,1988-01-01,1988,1,1
The Golf Club,XOne,Sports,Maximum Games,8,0.07,0.07,0.0,0.0,0.01,2015-04-28,2015,4,28
NHL Open Ice,PS,Sports,Midway Games,7,0.07,0.04,0.0,0.03,0.0,1996-11-30,1996,11,30
The Hustle: Detroit Streets,PSP,Sports,Activision,7,0.07,0.07,0.0,0.0,0.01,2005-10-25,2005,10,25
Power Pro GB,GB,Sports,Konami,6,0.07,0.0,0.07,0.0,0.0,1998-03-26,1998,3,26
Romance of the Three Kingdoms IX,PS2,Strategy,KOEI,7,0.07,0.03,0.0,0.03,0.01,2004-02-24,2004,2,24
Shounen Sunday x Shounen Magazine: Nettou! Dream Nine,DS,Sports,Konami,7,0.07,0.0,0.07,0.0,0.0,2009-02-26,2009,2,26
Harlem Globetrotters: World Tour,DS,Sports,DSI Games,2,0.07,0.07,0.0,0.0,0.01,2007-03-07,2007,3,7
Derby Jockey: Kishou e no Michi,SNES,Sports,Asmik Corp,8,0.07,0.0,0.07,0.0,0.0,1994-03-18,1994,3,18
Winning Post 7 2012,PS3,Sports,Tecmo Koei,7,0.07,0.0,0.07,0.0,0.0,2012-03-15,2012,3,15
River King: Mystic Valley (US sales),DS,Sports,Natsume,7,0.07,0.07,0.0,0.0,0.0,2008-04-29,2008,4,29
Winning Eleven Playmaker 2010: Aoki Samurai no Chousen,Wii,Sports,Konami,7,0.07,0.0,0.07,0.0,0.0,2010-05-20,2010,5,20
Dino Master: Dig Discover Duel,DS,Strategy,Majesco,2,0.07,0.06,0.0,0.0,0.0,2006-05-25,2006,5,25
Commandos 2: Men of Courage,XB,Strategy,Eidos Interactive,6,0.07,0.05,0.0,0.02,0.0,2002-09-18,2002,9,18
AMF Bowling Pinbusters!,DS,Sports,Vir2L Studios,7,0.07,0.06,0.0,0.0,0.0,2008-07-07,2008,7,7
Itoi Shigesato no Bass Tsuri No. 1 Ketteihan!,N64,Sports,Nintendo,9,0.07,0.0,0.07,0.0,0.0,2000-03-31,2000,3,31
Itoi Shigesato no Bass Tsuri No. 1 Ketteihan!,N64,Sports,Nintendo,9,0.07,0.0,0.07,0.0,0.0,2000-03-31,2000,3,31
Rugby League 3,Wii,Sports,Alternative Software,7,0.07,0.0,0.0,0.06,0.01,2010-04-09,2010,4,9
Disney Sports Skateboarding,GBA,Sports,Konami,3,0.07,0.05,0.0,0.02,0.0,2002-11-15,2002,11,15
MLB Front Office Manager,X360,Sports,2K Sports,8,0.07,0.06,0.0,0.0,0.01,2009-01-26,2009,1,26
Mia Hamm Soccer 64,N64,Sports,SouthPeak Interactive,9,0.07,0.06,0.0,0.01,0.0,2000-11-09,2000,11,9
Winter Sports 2011,Wii,Sports,DTP Entertainment,7,0.07,0.0,0.0,0.06,0.01,2011-02-25,2011,2,25
Culdcept Revolt,3DS,Strategy,NIS America,7,0.07,0.0,0.07,0.0,0.0,2017-10-03,2017,10,3
The Banner Saga Trilogy - Bonus Edition,PS4,Strategy,505 Games,8,0.07,0.06,0.0,0.0,0.01,2018-07-27,2018,7,27
Gladius,GC,Strategy,LucasArts,8,0.07,0.06,0.0,0.01,0.0,2003-11-03,2003,11,3
Mobile Suit Gundam: Try Age SP,3DS,Strategy,Namco Bandai Games,7,0.07,0.0,0.07,0.0,0.0,2014-07-17,2014,7,17
Real Time Conflict: Shogun Empires,DS,Strategy,Namco,7,0.07,0.06,0.0,0.0,0.01,2005-11-21,2005,11,21
San Goku Shi Taisen Ten,DS,Strategy,Sega,7,0.07,0.0,0.07,0.0,0.0,2008-08-07,2008,8,7
The Sims 2: Seasons,PC,Simulation,Electronic Arts,8,0.07,0.01,0.0,0.04,0.01,2007-02-27,2007,2,27
Microsoft Flight Simulator 2004: A Century of Flight,PC,Simulation,Microsoft Game Studios,8,0.07,0.0,0.0,0.06,0.01,2003-07-29,2003,7,29
Jurassic Park: Operation Genesis,XB,Simulation,VU Games,6,0.07,0.05,0.0,0.01,0.0,2003-03-26,2003,3,26
Fantasy Aquarium by DS,DS,Simulation,Destineer,7,0.07,0.07,0.0,0.0,0.01,2008-03-17,2008,3,17
Petz: Hamsterz Bunch,PSP,Simulation,Ubisoft,7,0.07,0.06,0.0,0.0,0.01,2009-10-27,2009,10,27
Pro Farm 1,PC,Simulation,Excalibur Publishing Limited,8,0.07,0.0,0.0,0.06,0.01,2011-08-19,2011,8,19
Poi,NS,Platform,Polykid,5,0.07,0.05,0.0,0.01,0.01,2017-02-01,2017,2,1
Shin Chan Contra ¡Los Plastas!,DS,Platform,505 Games,7,0.07,0.0,0.07,0.0,0.0,2009-12-03,2009,12,3
DuckTales: Remastered,WiiU,Platform,Capcom,8,0.07,0.06,0.0,0.0,0.01,2013-11-12,2013,11,12
Wallace & Gromit in Project Zoo,GC,Platform,BAM! Entertainment,6,0.07,0.05,0.0,0.01,0.0,2003-10-14,2003,10,14
Rayman 3: Hoodlum Havoc,GC,Platform,Ubisoft,7,0.07,0.05,0.0,0.01,0.0,2003-03-02,2003,3,2
Tak: The Great Juju Challenge,XB,Platform,THQ,6,0.07,0.05,0.0,0.02,0.0,2005-09-19,2005,9,19
Disney's Donald Duck Advance,GBA,Platform,Ubisoft,6,0.07,0.05,0.0,0.02,0.0,2001-11-15,2001,11,15
Paw Patrol on a Roll,PS4,Platform,Outright Games,8,0.07,0.06,0.0,0.0,0.01,2018-10-23,2018,10,23
Open Season,Wii,Platform,Ubisoft,5,0.07,0.06,0.0,0.0,0.01,2006-11-30,2006,11,30
Cut the Rope: Triple Treat,3DS,Puzzle,Activision,7,0.07,0.06,0.0,0.0,0.01,2014-03-25,2014,3,25
Sushi Striker: The Way of Sushido,NS,Puzzle,Nintendo,7,0.07,0.02,0.03,0.01,0.0,2018-06-08,2018,6,8
Titanic Mystery,DS,Puzzle,O-Games,7,0.07,0.05,0.0,0.01,0.01,2012-04-03,2012,4,3
Sudoku Fever,GBA,Puzzle,Take-Two Interactive,6,0.07,0.05,0.0,0.02,0.0,2006-02-09,2006,2,9
Jewel Quest 5: The Sleepless Star,PC,Puzzle,ValuSoft,8,0.07,0.04,0.0,0.02,0.01,2011-02-15,2011,2,15
Pipe Mania,PSP,Puzzle,Empire Interactive,7,0.07,0.06,0.0,0.0,0.01,2008-09-26,2008,9,26
Tropix,DS,Puzzle,Capcom,7,0.07,0.06,0.0,0.0,0.0,2008-11-10,2008,11,10
TigerShark,PS,Simulation,GT Interactive,7,0.07,0.04,0.0,0.03,0.0,1997-03-31,1997,3,31
Cooking Mama: Sweet Shop,3DS,Simulation,Rising Star Games,6,0.07,0.03,0.04,0.0,0.0,2017-05-16,2017,5,16
Cabela's The Hunt: Championship Edition Bundle,NS,Simulation,Planet Entertainment,8,0.07,0.06,0.0,0.0,0.01,2018-11-09,2018,11,9
Le Tour de France 2017,PS4,Simulation,Focus Home Interactive,8,0.07,0.0,0.0,0.06,0.01,2017-06-15,2017,6,15
Ant Nation,DS,Simulation,Konami,4,0.07,0.06,0.0,0.01,0.01,2009-09-08,2009,9,8
BeatMania,PS2,Simulation,Konami,7,0.07,0.03,0.0,0.03,0.01,2006-03-28,2006,3,28
SD Gundam: Gashapon Wars,GC,Strategy,Bandai,7,0.07,0.0,0.07,0.0,0.0,2005-12-01,2005,12,1
Romance of the Three Kingdoms XI,PS2,Strategy,KOEI,7,0.07,0.0,0.07,0.0,0.0,2007-02-06,2007,2,6
Elements of Destruction,DS,Strategy,THQ,7,0.07,0.07,0.0,0.0,0.01,2007-12-17,2007,12,17
The Putter Golf,PS,Sports,Agetec,7,0.07,0.04,0.0,0.03,0.0,2001-09-26,2001,9,26
Backyard NFL Football '09,DS,Sports,Atari,7,0.07,0.06,0.0,0.0,0.01,2008-10-21,2008,10,21
John Madden Football,SNES,Sports,Electronic Arts,8,0.07,0.0,0.07,0.0,0.0,1991-11-01,1991,11,1
FIFA Soccer 2004,GC,Sports,EA Sports,8,0.07,0.05,0.0,0.01,0.0,2003-11-04,2003,11,4
Dave Mirra BMX Challenge,PSP,Sports,Crave Entertainment,3,0.07,0.06,0.0,0.0,0.01,2006-11-02,2006,11,2
World Tour Soccer 06,PSP,Sports,Sony Computer Entertainment,7,0.07,0.07,0.0,0.0,0.01,2006-06-27,2006,6,27
Soccer Tsuku: Pro Soccer Club o Tsukurou!,PSV,Sports,Sega,9,0.07,0.0,0.07,0.0,0.0,2013-10-10,2013,10,10
Kidou Senshi Gundam: Giren no Yabou - Axis no Kyoui V,PSP,Strategy,Namco Bandai,7,0.07,0.0,0.07,0.0,0.0,2009-02-12,2009,2,12
Robocalypse,DS,Strategy,Tecmo,7,0.07,0.07,0.0,0.0,0.01,2008-11-17,2008,11,17
Classic Road,PS,Sports,Victor Interactive,7,0.07,0.0,0.07,0.0,0.0,1995-12-15,1995,12,15
Winter Sports 2: The Next Challenge,X360,Sports,Conspiracy Entertainment,8,0.07,0.06,0.0,0.01,0.01,2008-11-18,2008,11,18
Constructor HD,XOne,Strategy,Deep Silver,8,0.07,0.07,0.0,0.0,0.01,2017-07-11,2017,7,11
Kessen III,PS2,Strategy,KOEI,7,0.07,0.04,0.0,0.03,0.01,2005-02-22,2005,2,22
Super Robot Wars X,PSV,Strategy,Bandai Namco Games,9,0.07,0.0,0.07,0.0,0.0,2018-03-29,2018,3,29
Wrath Unleashed,PS2,Strategy,LucasArts,7,0.07,0.04,0.0,0.03,0.01,2004-02-10,2004,2,10
Kidou Senshi Gundam: Giren no Yabou - Axis no Kyoui V,PS2,Strategy,Namco Bandai,7,0.07,0.0,0.07,0.0,0.0,2009-02-12,2009,2,12
Norse by Norsewest: The Return of the Lost Vikings,PS,Action,Interplay,7,0.07,0.04,0.0,0.03,0.0,1997-11-17,1997,11,17
Fantasy Aquarium World,Wii,Simulation,Destineer,7,0.07,0.06,0.0,0.0,0.0,2009-05-13,2009,5,13
Armored Core: Nine Breaker,PS2,Simulation,Agetec,7,0.07,0.03,0.0,0.03,0.01,2005-09-13,2005,9,13
Squishy Tank,DS,Puzzle,Natsume,7,0.07,0.07,0.0,0.0,0.01,2010-03-23,2010,3,23
Ghostbusters (2016),XOne,Action,Activision,8,0.07,0.06,0.0,0.0,0.01,2016-07-12,2016,7,12
Famicom Mini: Wrecking Crew,GBA,Puzzle,Nintendo,6,0.07,0.0,0.07,0.0,0.0,2004-05-21,2004,5,21
Buster Bros. Collection,PS,Puzzle,Capcom,6,0.07,0.04,0.0,0.03,0.0,1997-04-18,1997,4,18
Touch Detective: Nameko Shigeru,3DS,Puzzle,Success,7,0.07,0.0,0.07,0.0,0.0,2013-02-28,2013,2,28
Margot's Word Brain,DS,Puzzle,Zoo Games,7,0.07,0.07,0.0,0.0,0.01,2008-09-30,2008,9,30
Bomberman Max 2: Red Advance,GBA,Puzzle,Majesco,7,0.07,0.05,0.0,0.02,0.0,2002-05-30,2002,5,30
The Rub Rabbits!,DS,Puzzle,Sega,7,0.07,0.03,0.04,0.0,0.0,2006-02-13,2006,2,13
Jewel Time Deluxe,DS,Puzzle,O-Games,7,0.07,0.04,0.0,0.03,0.01,2011-10-18,2011,10,18
Jewel Link Chronicles: Legend of Athena,DS,Puzzle,GSP,7,0.07,0.0,0.0,0.06,0.01,2011-02-25,2011,2,25
