title,console,genre,publisher,critic_score,total_sales,na_sales,jp_sales,pal_sales,other_sales,release_date,year,month,day
MySims,DS,Simulation,Electronic Arts,6,3.66,1.58,0.08,1.6,0.4,2007-09-18,2007,9,18
Midnight Club 3: DUB Edition,PSP,Racing,Rockstar Games,7,3.66,1.65,0.0,1.22,0.79,2005-06-27,2005,6,27
SOCOM: U.S. Navy SEALs,PS2,Shooter,Sony Computer Entertainment,8,3.65,2.53,0.06,0.81,0.24,2002-08-27,2002,8,27
Battlefield 4,PS3,Shooter,Electronic Arts,8,3.64,1.31,0.27,1.5,0.55,2013-10-29,2013,10,29
Jak and Daxter: The Precursor Legacy,PS2,Platform,Sony Computer Entertainment,9,3.64,2.08,0.15,1.09,0.33,2001-12-04,2001,12,4
Pro Evolution Soccer 2008,PS2,Sports,Konami,8,3.63,0.05,0.64,0.0,2.93,2008-03-11,2008,3,11
FIFA Soccer 10,PS3,Sports,EA Sports,9,3.63,0.6,0.05,2.46,0.52,2009-10-20,2009,10,20
Guitar Hero: World Tour,Wii,Misc,Activision,8,3.62,2.32,0.0,0.96,0.34,2008-10-26,2008,10,26
The Simpsons: Road Rage,PS2,Racing,Electronic Arts,6,3.61,2.02,0.0,1.17,0.42,2001-11-24,2001,11,24
Star Wars Battlefront,PS2,Shooter,LucasArts,8,3.61,1.93,0.03,1.22,0.44,2004-09-20,2004,9,20
Doom II,PC,Shooter,GT Interactive,9,3.61,2.05,0.0,1.4,0.16,1994-09-30,1994,9,30
Assassin's Creed Syndicate,PS4,Action,Ubisoft,8,3.6,0.9,0.08,2.06,0.55,2015-10-23,2015,10,23
Star Wars Battlefront II,PS2,Shooter,LucasArts,8,3.59,2.18,0.03,1.02,0.37,2005-11-01,2005,11,1
Assassin's Creed: Unity,XOne,Action,Ubisoft,8,3.58,2.34,0.0,0.9,0.34,2014-11-11,2014,11,11
WWF SmackDown!,PS,Fighting,THQ,9,3.58,2.01,0.06,1.35,0.16,2000-03-01,2000,3,1
